219.130.39.55:53281
125.211.202.26:53281
221.4.133.67:53281
39.79.124.228:65309
124.152.6.66:7895
123.146.97.87:65309
180.173.109.149:8118
27.184.215.18:8118
119.50.7.112:8118
60.20.170.130:80
111.155.116.228:8123
121.31.103.216:8123
122.192.66.50:808
182.88.40.35:8118
60.24.157.103:8118
121.31.103.230:8123
171.38.42.147:8123
183.16.228.227:8123
113.9.237.250:8118
220.161.36.115:8118
123.56.220.167:8088
58.218.196.126:808
110.73.6.242:8123
42.159.242.36:808
115.211.58.194:8118
180.104.223.18:8118
175.154.87.16:8118
112.86.90.47:8118
182.242.173.255:8118
218.15.25.153:808
117.68.154.140:8118
115.46.84.92:8123
121.237.7.135:8118
117.64.246.249:8118
220.166.240.90:8118
182.35.95.176:8118
116.28.121.79:808
39.64.44.126:8118
222.61.20.147:808
112.239.136.168:8118
182.88.191.48:8123
118.255.147.164:80
110.73.48.11:8123
171.38.85.208:8123
116.28.108.215:808
117.66.82.37:8118
49.82.42.145:8118
113.236.175.73:80
112.123.248.17:9745
218.78.213.174:88
27.184.125.27:8118
111.155.116.223:8123
116.54.55.183:80
110.73.10.231:8123
114.246.246.135:8118
182.112.141.129:80
49.74.123.185:8118
112.114.77.179:8118
101.68.73.54:53281
1.203.171.112:80
110.73.53.161:8123
220.161.238.238:8118
221.0.138.163:8118
120.36.177.98:8118
114.99.14.12:6890
121.31.151.66:8123
182.244.206.103:8118
121.31.100.132:8123
59.63.178.203:53281
171.13.2.176:808
223.13.69.86:8118
110.73.49.174:8123
14.149.121.34:8118
58.248.201.165:8118
124.234.157.230:80
115.225.206.121:8118
121.32.122.188:8123
112.194.8.14:80
125.118.73.213:808
124.89.33.59:53281
112.226.233.252:8118
60.13.1.140:7895
61.135.155.82:443
114.246.246.135:8118
1.85.116.234:8118
115.46.95.132:8123
140.240.173.10:8118
120.11.10.72:80
121.31.154.186:8123
114.99.9.229:6890
110.72.30.135:8123
114.99.7.4:808
114.99.8.57:6890
112.123.248.6:9745
112.114.95.180:8118
117.90.254.112:8118
117.78.51.231:3128
114.99.5.131:6890
121.31.156.164:8123
60.212.151.28:53281
